id,text,created_at,place,coordinates
927561211884969984,Our low-interest loans &amp; principal forgiveness help communities bring #txwater projects to life. https://t.co/RtuK617CPc,Mon Nov 06 15:40:00 +0000 2017,None,None
927555200025587714,"RT @twdb_kathleen: Thx Jorge Argueta for your beautiful ode ""Water, Little Water"" ab life cycle of water from perspective of one drop! @aho",Mon Nov 06 15:16:07 +0000 2017,None,None
926481984695791617,Way to go @MySAWS!! Water conservation is critical. https://t.co/d00FXg41V5,Fri Nov 03 16:11:33 +0000 2017,None,None
926456431808671744,"In 1997, the #txlege changed how TX plans for #txwater supply by creating a new process based on 16 regional water https://t.co/6VVjh7CO4W",Fri Nov 03 14:30:00 +0000 2017,None,None
926435436578398213,"RT @twdb_bech: SWP, RWPG, GCD, DFC, GMA, MAG...Got it? Good. (Drops mic. Exits classroom.) #txwater https://t.co/SBNtCICUYS",Fri Nov 03 13:06:35 +0000 2017,None,None
926134652468854785,"RT @twdb_kathleen: If you're @ #TxDesal Summit hosted by @toddahunter, stop by @twdb booth to learn more about our financial assistance pro",Thu Nov 02 17:11:22 +0000 2017,None,None
926094061144076289,Weve developed state water plans ever since the #txlege assigned us the task in 1965. #twdb60 #txwater https://t.co/sbleorjPRS,Thu Nov 02 14:30:04 +0000 2017,None,None
926087877980811264,RT @twdb_Jeff: Continuing to get the word out on #txwater and available services for Texans @twdb_bech @TXSenateIGR https://t.co/w3YtdHtUUJ,Thu Nov 02 14:05:30 +0000 2017,None,None
925827120932237312,"RT @twdb_bech: @MaceatMeadows @twdb @MeadowsC4Water When it comes to fish in the #txwater sea, @MaceatMeadows always has and always will li",Wed Nov 01 20:49:21 +0000 2017,None,None
925788475084992517,Our just-retired Dr. Mace has a new twitter handle. Follow him @MaceatMeadows https://t.co/D3CON8Ozzm,Wed Nov 01 18:15:47 +0000 2017,None,None
925736210974289920,"Happy 60th anniversary, TWDB! This month were sharing milestones and program highlights. #TWDB60 https://t.co/cHEcgIqipQ",Wed Nov 01 14:48:06 +0000 2017,None,None
925719862718148608,"Seawater desalination, aquifer storage and recovery, and brackish groundwater treatment technologies are all in development stages",Wed Nov 01 13:43:08 +0000 2017,None,None
