latitude,longitude,altitude,geometry,aquifer,aquifer_type,county,entity,status,well_number
30.772499,-102.58222099999999,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5312802
30.899165999999997,-102.28916600000001,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5306901
30.990277000000003,-102.923888,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5301209
30.7025,-103.151666,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5223603
30.786388,-103.00916600000001,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5216909
30.867777,-103.015833,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5216311
30.901111,-103.046666,,Point,Other,Unconfined,Pecos,Middle Pecos GCD,Inactive,5208802
30.930277,-103.270554,,Point,Edwards-Trinity Plateau,Confined,Pecos,Middle Pecos GCD,Inactive,5206604
31.208888,-103.0025,,Point,Pecos Valley,Unconfined,Pecos,Middle Pecos GCD,Inactive,4656309
31.183609999999998,-103.134721,,Point,Pecos Valley,Unconfined,Pecos,Middle Pecos GCD,Inactive,4655603
31.017221000000003,-102.235555,,Point,Pecos Valley,Unconfined,Pecos,Middle Pecos GCD,Inactive,4563705
31.056665999999996,-102.90722199999999,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,4557603
28.217221000000002,-97.83861,,Point,Gulf Coast,Unconfined,Live Oak,Bee GCD,Active,7950106
29.988609999999998,-99.024443,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,6908305
29.988609999999998,-99.024443,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,6908304
29.969721000000003,-99.2125,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,6907107
29.940833,-99.573054,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,6904503
29.906944,-98.97277700000001,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,6801704
29.906944,-98.97277700000001,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,6801703
30.039165999999998,-98.92083199999999,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5757805
30.013610999999997,-99.157777,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5663924
30.013610999999997,-99.157777,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5663923
30.117499,-99.492221,,Point,Edwards-Trinity Plateau,Unconfined,Kerr,Headwaters GCD,Active,5661102
30.106944,-99.494166,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5661101
30.106388,-99.695555,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5659201
30.128888,-99.193333,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5655805
30.242499,-99.343333,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5654106
30.128054,-99.58666600000001,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5652704
30.265,-99.654166,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5643901
30.494444,-103.753333,,Point,Igneous,Unconfined,Jeff Davis,Sul Ross State University,Inactive,5234302
30.547777000000004,-103.928054,,Point,Igneous,Unconfined,Jeff Davis,Sul Ross State University,Inactive,5225509
30.637221000000004,-104.028054,,Point,Igneous,Unconfined,Jeff Davis,Sul Ross State University,Inactive,5124901
35.78111,-101.091944,,Point,Ogallala,Unconfined,Hutchinson,Panhandle GCD,Active,0616702
31.75,-105.130277,,Point,Bone Spring-Victorio Peak,Unconfined,Hudspeth,Sul Ross State University,Inactive,4815903
35.570554,-100.829999,,Point,Ogallala,Unconfined,Gray,Panhandle GCD,Active,0526501
34.873332,-100.720832,,Point,Ogallala,Unconfined,Donley,Panhandle GCD,Active,1211118
34.939444,-100.60555500000001,,Point,Ogallala,Unconfined,Donley,Panhandle GCD,Active,1204452
34.91,-100.78111,,Point,Ogallala,Unconfined,Donley,Panhandle GCD,Inactive,1202959
30.839444,-104.76055500000001,,Point,West Texas Bolson,Unconfined,Culberson,Sul Ross State University,Inactive,5110305
31.118332000000002,-104.683888,,Point,West Texas Bolson,Unconfined,Culberson,Sul Ross State University,Inactive,4759212
35.366665999999995,-101.39472099999999,,Point,Ogallala,Unconfined,Carson,Panhandle GCD,Inactive,0645305
30.356944,-103.04111,,Point,Other,Unconfined,Brewster,Middle Pecos GCD,Inactive,5248301
30.384999,-103.72194300000001,,Point,Igneous,Unconfined,Brewster,Sul Ross State University,Inactive,5235710
29.616111,-98.735555,,Point,Trinity,Unconfined,Bexar,Trinity Glen Rose GCD,Active,6827112
29.678054,-98.436944,,Point,Trinity,Unconfined,Bexar,Trinity Glen Rose GCD,Active,6821519
29.69861,-98.494444,,Point,Trinity,Unconfined,Bexar,Trinity Glen Rose GCD,Inactive,6821410
29.631943,-98.68611,,Point,Trinity,Unconfined,Bexar,Trinity Glen Rose GCD,Active,6819806
30.91,-97.555,,Point,Edwards (Balcones Fault Zone),Confined,Bell,Clearwater UWCD,Active,5804816
30.933888,-97.53111,,Point,Edwards (Balcones Fault Zone),Confined,Bell,Clearwater UWCD,Active,5804628
31.111110999999998,-97.818054,,Point,Trinity,Confined,Bell,Clearwater UWCD,Active,4058201
28.436388,-97.848888,,Point,Gulf Coast,Unconfined,Bee,Bee GCD,Active,7934409
35.18111,-101.169166,,Point,Ogallala,Unconfined,Armstrong,Panhandle GCD,Active,0655504
35.176943,-101.5075,,Point,Ogallala,Unconfined,Armstrong,Panhandle GCD,Inactive,0652603
28.924443,-99.82583199999999,,Point,Carrizo-Wilcox,Confined,Zavala,Texas Water Development Board,Active,7702509
29.121388,-98.36277700000001,,Point,Carrizo-Wilcox,Confined,Wilson,Texas Water Development Board,Active,6862104
30.578888,-97.410833,,Point,Trinity,Confined,Williamson,Texas Water Development Board,Active,5829603
30.596109999999996,-97.661111,,Point,Edwards (Balcones Fault Zone),Confined,Williamson,Texas Water Development Board,Inactive,5827305
29.18611,-96.499444,,Point,Gulf Coast,Unconfined,Wharton,Texas Water Development Board,Active,6653406
30.166388,-96.38416600000001,,Point,Gulf Coast,Unconfined,Washington,Texas Water Development Board,Active,5953915
28.684165999999998,-96.948888,,Point,Gulf Coast,Unconfined,Victoria,Texas Water Development Board,Active,8017502
29.883888,-100.988888,,Point,Edwards-Trinity Plateau,Unconfined,Val Verde,Texas Water Development Board,Active,7001707
30.0575,-101.22277700000001,,Point,Edwards-Trinity Plateau,Unconfined,Val Verde,Texas Water Development Board,Active,5463401
30.234999,-97.87305400000001,,Point,Trinity,Confined,Travis,Texas Water Development Board,Active,5850120
31.374443,-100.405833,,Point,Lipan,Unconfined,Tom Green,Texas Water Development Board,Active,4345306
31.499166,-100.466388,,Point,Lipan,Unconfined,Tom Green,Texas Water Development Board,Active,4337101
34.354444,-101.758611,,Point,Ogallala,Unconfined,Swisher,Texas Water Development Board,Active,1142315
30.359444,-100.378888,,Point,Edwards-Trinity Plateau,Unconfined,Sutton,Texas Water Development Board,Active,5545308
32.531665999999994,-95.262777,,Point,Carrizo-Wilcox,Confined,Smith,Texas Water Development Board,Active,3430907
30.862221999999996,-100.597499,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Texas Water Development Board,Active,5512134
32.298055,-94.875277,,Point,Carrizo-Wilcox,Confined,Rusk,Texas Water Development Board,Active,3541604
35.723332,-100.934999,,Point,Ogallala,Unconfined,Roberts,Texas Water Development Board,Active,0517203
35.822777,-100.928332,,Point,Ogallala,Unconfined,Roberts,Texas Water Development Board,Active,0509553
31.324165999999998,-103.543888,,Point,Pecos Valley,Unconfined,Reeves,Texas Water Development Board,Active,4644501
29.680277,-99.71555500000001,,Point,Trinity,Confined,Real,Texas Water Development Board,Active,6919401
31.639165999999996,-101.545277,,Point,Edwards-Trinity Plateau,Unconfined,Reagan,Texas Water Development Board,Active,4420854
30.51861,-104.429721,,Point,West Texas Bolson,Unconfined,Presidio,Texas Water Development Board,Active,5129805
30.791109999999996,-103.04305500000001,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Texas Water Development Board,Active,5216802
31.290554999999998,-103.05,,Point,Pecos Valley,Unconfined,Pecos,Texas Water Development Board,Active,4648806
30.825277000000003,-96.653611,,Point,Carrizo-Wilcox,Confined,Milam,Texas Water Development Board,Active,5911621
31.461944,-97.19861,,Point,Trinity,Confined,McLennan,Texas Water Development Board,Active,4039204
30.949721000000004,-99.28083199999999,,Point,Hickory,Confined,McCulloch,Texas Water Development Board,Active,5606614
30.929166,-99.26333299999999,,Point,Hickory,Unconfined,Mason,Texas Water Development Board,Active,5606613
32.386666,-102.147777,,Point,Ogallala,Unconfined,Martin,Texas Water Development Board,Active,2739903
34.169443,-102.402777,,Point,Ogallala,Unconfined,Lamb,U.S. Geological Survey,Active,1053602
28.477221000000004,-99.357222,,Point,Carrizo-Wilcox,Confined,La Salle,Texas Water Development Board,Active,7738103
30.005554999999998,-99.132777,,Point,Trinity,Confined,Kerr,Texas Water Development Board,Active,5663922
30.169721000000003,-99.347499,,Point,Trinity,Confined,Kerr,Texas Water Development Board,Active,5654405
29.798333000000003,-98.744721,,Point,Trinity,Unconfined,Kendall,Texas Water Development Board,Active,6811417
29.970277000000003,-98.525277,,Point,Trinity,Unconfined,Kendall,Texas Water Development Board,Active,6804312
