POINTID,GRID_CODE,x_center,y_center
100,217.03584290,-100.46092632000,36.49794528030
101,215.94857788,-100.41383601300,36.49953798030
102,179.03634644,-102.99819283100,36.36990583760
103,183.08502197,-102.95126588300,36.37240853570
104,174.00509644,-102.90433552100,36.37489441270
105,175.91152954,-102.85740176900,36.37736346710
106,152.69328308,-102.81046464900,36.37981569710
107,119.41925812,-102.76352418400,36.38225110140
108,111.02923584,-102.71658039700,36.38466967830
109,111.58196259,-102.66963331000,36.38707142630
110,122.72019196,-102.62268294500,36.38945634390
111,139.84132385,-102.57572932600,36.39182442960
112,141.22521973,-102.52877247600,36.39417568180
113,95.68084717,-102.48181241600,36.39651009900
114,86.48400116,-102.43484917100,36.39882767980
115,76.15839386,-102.38788276100,36.40112842270
116,84.99675751,-102.34091321100,36.40341232620
117,93.52911377,-102.29394054300,36.40567938890
118,97.94905090,-102.24696477900,36.40792960930
119,102.21020508,-102.19998594300,36.41016298600
120,117.46810913,-102.15300405700,36.41237951750
121,117.78670502,-102.10601914400,36.41457920250
122,129.96104431,-102.05903122700,36.41676203960
123,145.19902039,-102.01204032900,36.41892802730
124,144.30705261,-101.96504647200,36.42107716430
125,147.69073486,-101.91804967900,36.42320944910
126,134.86178589,-101.87104997300,36.42532488060
127,99.57869720,-101.82404737700,36.42742345720
128,143.64062500,-101.77704191400,36.42950517760
129,167.18762207,-101.73003360600,36.43157004060
130,157.98313904,-101.68302247700,36.43361804470
131,156.34153748,-101.63600854900,36.43564918880
132,109.79312897,-101.58899184600,36.43766347150
133,81.49554443,-101.49358616700,36.42464870700
134,95.99723816,-101.44657289500,36.42661197540
135,89.21092987,-101.39955694100,36.42855838080
136,68.68076324,-101.35253832700,36.43048792210
137,131.45414734,-101.30551707700,36.43240059800
138,213.85252380,-101.25849321400,36.43429640730
139,216.37281799,-101.21146676000,36.43617534880
140,250.48284912,-101.16443773800,36.43803742120
141,240.89881897,-101.11740617200,36.43988262340
142,220.44700623,-101.07037208400,36.44171095430
143,213.62532043,-101.02333549700,36.44352241260
144,200.13235474,-100.97629643400,36.44531699710
145,173.83413696,-100.92925491900,36.44709470680
146,145.80000305,-100.88221097300,36.44885554050
147,145.57565308,-100.83516462100,36.45059949700
148,144.79830933,-100.78811588500,36.45232657530
149,147.96524048,-100.74106478800,36.45403677420
150,163.85592651,-100.69401135300,36.45573009270
151,186.89244080,-100.64695560300,36.45740652960
152,212.87847900,-100.59989756200,36.45906608390
153,256.44454956,-100.55283725100,36.46070875450
154,229.88287354,-100.50577469500,36.46233454040
155,208.94830322,-100.45870991600,36.46394344060
156,212.61233521,-100.41164293700,36.46553545390
157,219.82612610,-100.36457378200,36.46711057940
158,208.06100464,-100.31750247200,36.46866881600
159,177.22343445,-100.27042903300,36.47021016280
160,203.97149658,-100.22335348600,36.47173461880
161,224.49543762,-100.17627585400,36.47324218300
162,242.53143311,-100.12919616200,36.47473285440
163,231.17230225,-100.08211443100,36.47620663210
164,233.59231567,-100.03503068400,36.47766351510
165,165.20584106,-103.01817478900,36.33469345870
166,170.98495483,-102.97127264600,36.33720349080
167,179.24940491,-102.92436708200,36.33969670960
168,211.71006775,-102.87745812200,36.34217311370
169,170.02207947,-102.83054578800,36.34463270130
170,135.97045898,-102.78363010300,36.34707547100
171,116.63275146,-102.73671108800,36.34950142120
172,113.53812408,-102.68978876800,36.35191055040
173,115.84490967,-102.64286316300,36.35430285700
174,121.96620941,-102.59593429800,36.35667833950
175,123.17852020,-102.54900219500,36.35903699640
176,91.13697815,-102.50206687600,36.36137882630
177,42.84380341,-102.45512836400,36.36370382750
178,64.24992371,-102.40818668200,36.36601199860
179,74.27224731,-102.36124185200,36.36830333830
180,98.29425049,-102.31429389700,36.37057784490
181,114.98466492,-102.26734284100,36.37283551710
182,135.90998840,-102.22038870500,36.37507635340
183,134.78746033,-102.17343151200,36.37730035250
184,122.92175293,-102.12647128600,36.37950751280
185,139.22380066,-102.07950804800,36.38169783300
186,140.74240112,-102.03254182200,36.38387131160
187,140.61309814,-101.98557263100,36.38602794740
188,143.98448181,-101.93860049600,36.38816773890
189,151.27546692,-101.89162544200,36.39029068470
190,134.69218445,-101.84464749000,36.39239678360
191,142.70526123,-101.79766666400,36.39448603410
192,199.58033752,-101.75068298700,36.39655843500
193,206.74862671,-101.70369648000,36.39861398490
194,177.93367004,-101.65670716800,36.40065268240
195,171.87600708,-101.60971507300,36.40267452640
196,119.01619720,-101.56272021700,36.40467951550
197,91.17089081,-101.51572262400,36.40666764840
198,102.20615387,-101.46872231600,36.40863892390
